"PI","grid","Community_type","Latitude","Longitude","Adjusted_latitude","Elevation","ydiv","STA_avg_EVI","STA_max_EVI","phe_var_based_EVI","MAT","MAP","MAT_scale","MAP_scale"
"Sugiyama",122,"temp.wet.grass",40.94944444,140.3794444,40.967462458018,2,3.258096538,3.012955951,2.971900176,0.586096029,10.4718181818182,1365.82090909091,0.155192008313001,2.64589291632851
"Thompson",123,"temp.grass",49.04952,-110.44053,57.1486190990991,899,2.708050201,2.42100541,1.840466429,0.855585861,6.63545454545455,292.436363636364,-0.412973159911611,-1.01225225390835
"Thompson",124,"temp.grass",49.02272,-110.4441,56.986683963964,884,2.397895273,2.297143319,1.602457294,0.808750693,6.63545454545455,292.436363636364,-0.412973159911611,-1.01225225390835
"vanRooyen",125,"temp.grass",-26.00486111,30.07822222,39.9147710199099,1544,4.007333185,3.287980599,2.728806946,-1.234779803,15.3927272727273,687.943636363636,0.883978277412484,0.335655190490475
"vanRooyen",126,"temp.grass",-26.00434,30.02868,40.013349009009,1555,4.17438727,2.81236593,2.284104987,-0.923099063,15.3927272727273,687.943636363636,0.883978277412484,0.335655190490475
"vanRooyen",127,"temp.grass",-25.43194444,29.21405556,38.5400525481081,1455,4.110873864,2.447344812,2.117678775,-0.713877926,18.2209090909091,575.762727272727,1.3028317936084,-0.0466626400777942
"vanRooyen",128,"temp.grass",-25.43313889,29.21244444,38.5412469981081,1455,4.077537444,2.447344812,2.117678775,-0.713877926,18.2209090909091,575.762727272727,1.3028317936084,-0.0466626400777942
"vanRooyen",129,"temp.grass",-25.42666667,29.21472222,38.4897297330631,1450,3.496507561,2.195929586,1.804605495,-0.676326297,18.2209090909091,575.762727272727,1.3028317936084,-0.0466626400777942
"vanRooyen",130,"temp.grass",-25.42705556,29.21316667,38.4901186230631,1450,3.713572067,2.204903504,1.827934144,-0.685788474,18.2209090909091,575.762727272727,1.3028317936084,-0.0466626400777942
"Wellstein",131,"alpine.grass",42.95361362,13.01658613,53.8455055118919,1209,4.143134726,2.293368028,2.731286337,-0.274039441,12.2481818181818,746.431818181818,0.418271330282406,0.534985673438236
